model,split,seed,accuracy,roc_auc,precision,recall,f1,iterasi
RandomForest,Split_70-15-15,42,0.9102,0.9716,0.8863,0.941,0.9128,1
RandomForest,Split_70-15-15,7,0.9026,0.9668,0.8817,0.93,0.9052,2
RandomForest,Split_70-15-15,123,0.9012,0.9684,0.8689,0.9451,0.9054,3
RandomForest,Split_60-40,42,0.9056,0.9667,0.8742,0.9475,0.9094,1
RandomForest,Split_60-40,7,0.9059,0.9659,0.8754,0.9465,0.9095,2
RandomForest,Split_60-40,123,0.8938,0.9627,0.8582,0.9434,0.8988,3
RandomForest,Split_80-20,42,0.909,0.9691,0.8811,0.9455,0.9122,1
RandomForest,Split_80-20,7,0.912,0.9692,0.8833,0.9496,0.9152,2
RandomForest,Split_80-20,123,0.8966,0.9659,0.8613,0.9455,0.9014,3
LogisticRegression,Split_70-15-15,42,0.8148,0.8993,0.8056,0.8299,0.8176,1
LogisticRegression,Split_70-15-15,7,0.8203,0.9,0.8029,0.8491,0.8253,2
LogisticRegression,Split_70-15-15,123,0.8025,0.8892,0.7875,0.8285,0.8075,3
LogisticRegression,Split_60-40,42,0.8097,0.8925,0.7934,0.8374,0.8148,1
LogisticRegression,Split_60-40,7,0.8169,0.8964,0.8034,0.839,0.8208,2
LogisticRegression,Split_60-40,123,0.7996,0.8827,0.7829,0.8292,0.8054,3
LogisticRegression,Split_80-20,42,0.803,0.8925,0.789,0.8272,0.8076,1
LogisticRegression,Split_80-20,7,0.8117,0.8961,0.7959,0.8385,0.8166,2
LogisticRegression,Split_80-20,123,0.8035,0.8879,0.787,0.8323,0.809,3
SVM,Split_70-15-15,42,0.8539,0.9332,0.8368,0.8793,0.8575,1
SVM,Split_70-15-15,7,0.869,0.9361,0.8449,0.904,0.8734,2
SVM,Split_70-15-15,123,0.858,0.9362,0.8304,0.8999,0.8637,3
SVM,Split_60-40,42,0.8524,0.9285,0.8312,0.8843,0.8569,1
SVM,Split_60-40,7,0.8614,0.9337,0.8412,0.8909,0.8654,2
SVM,Split_60-40,123,0.8519,0.922,0.827,0.8899,0.8573,3
SVM,Split_80-20,42,0.8544,0.9294,0.8354,0.8827,0.8584,1
SVM,Split_80-20,7,0.8647,0.9362,0.8399,0.9012,0.8695,2
SVM,Split_80-20,123,0.8555,0.9312,0.8269,0.8992,0.8615,3
